,0
72,예뻐서 2년 정도 잘 사용하고 다시 구매합니다 너무 좋아요!!
73,무탴다드 블래이져 셋업으로 입어도 좋고 다른 바지에 코디해서 입기좋아요
74,딱 제 몸에 정핏이네요 xl 살까 하다가 l사서 만족합니다
75,가격도 적당하고 과하지 않은 스타일링에 적합합니다.
76,깔끔하게 떨어지는 핏이라 예쁘네요 두번 사세요
77,블레이저 색상도 적당하고 사이즈도 맞고 좋습니다!
78,색상 디자인 전부 무난하고 가볍게 입기 좋습니다.
79,처음 블레이저인데 많이 유용하게 입을거 같아요 이쁘네요
80,너무너무 좋아요 멋지도 이쁘고 완벽해요 이건 ㅊ회고야
81,공식적인 자리 많아지면서 블레이저찾다가 구매했는데 좋네요
82,기장감이 살짝 아쉬운거 빼고는 전체적으러 만족함
83,봄가을 무난하게 입을수있는 자켓입니지다 적당히 두껍고 코디하기편하고 너무 이쁩니다
84,사회 초년생을 위한 저렴한 블레이져 취뽀 후 맞춤으로 갈아탈예정
85,색감 너무좋고 소재도 딱맞아요 잘입을것 같습니다
86,사이즈 좋고 이쁨미다 역시 무탠다드 강추입니다
87,같은 소재 바지를 너무 잘 입고 있어 함께 구매했습니다
88,리얼루 굳입니다 정말로요~~~ 정핏이에요 근데 오버사시는거 추천
89,기본템으로 하나 필요할 것 같아서 샀는데 너무 만족합니다 특히 배송시에 큰 박스에 안구겨지게 옷걸이까지 넣어주셔서 배송 후 보관함에서 가져가는데까지 꽤 걸렸는데도 그대로 받았습니다!
90,면접 복장으로 샀는데 딱 무난하고 깔끔하네요 굿
91,정장사기아까울때 그냥 사서입기 좋아요 단추디테일 좋아요
92,기본핏으로 무난하게 좋습니다~~ 세일할때 구매해서 더만족ㅎㅎ
93,사이즈도 좋고 핏도 좋고 전체적으로 만족합니다
94,핏이 잘 떨어지고 좋네요 자주 이용 할 것 같습니다
95,슬랙스 아니어도 다른 옷이랑 매치할 수 있어서 좋아요
96,기본템이라는게 맞는거 같아요 어느 옷에도 잘 맞고 좋아요
97,딱 적당해요 나이가 드니까 경조사 때 급하게 입는 일들이 발생해서 차에 두려고 샀어요. 사이즈도 잘 맞고 좋습니다.
98,블레이저가 없어서 하나 장만햇는데 역시 무신사 이쁩니다ㅎㅎ
99,오버핏말고 무난한 핏 좋아하시는 분들이라면 매우 만족할 것 같네요. 색감이랑 재질이 매우 망족입니다
100,좋습니다 세미정장 스타일 노땅스탈 노노 30대에겐 굿
101,사이즈와 핏이 생각했던 대로 이쁘게 떨어집니다.
102,기장이 생각보다 길어서 버튼을 모두 잠가야 핏이 더 사는 거 깉습니다 그래도 예쁘게 잘 입고 있어요
103,기본템으로 하나 사둬도 나쁘지 않은 무탠다드 블레이저
104,블레이저가 하나도없어서기본으로샀어요 만족합니다
105,"무신사스탠다드는 가성비 좋고, 디자인도 훌륭합니다."
106,색상 좋고 두께감 좋고 핏 좋고 다 좋아요 다음에 또 구매할께요
107,품질 좋습니다 다른 SPA브랜드 XL정도 되는것 같습니다
108,총장이 좀 긴 거 같아요 조금만 짧았으면 좋겠어요
109,검은색 정장 하나 갖고있는 용도로 샀슴니다 자주입지 않지만 맘에 듭니다! 무탠다드 가성비 굿
110,색감도 그렇고 핏도 마음에 들어요. 잘 입고 다니는중
111,핏이 딱 스텐다드네여 다음엔 오버핏으로도 하나 더 살까 생각중입니당
112,남동생 선물로 사줬는데 너무 만족하네요! 감사합니당~~!
113,다른건 기장이 맞는데 어깨가 엄청 좁게 나왔습니다
114,그냥 딱 정석 블레이저느낌입니다. 살짝 오버한 감이있어 포멀한 자리에는 안어울릴수도..?
115,배송도 빠르고 포말한 느낌 주는 정장 상의라 좋아여
116,블레이저 살까? 고민되면 이거 사는게 맞는 것 같네요 ㅎㅎ
117,블레이저 사이즈가 딱 맞고 디자인도 깔끔하니예뻐요
118,가성비가 너무 좋네요!! 기본 블레이저인데 이정도 가격대면 너무 좋습니다
119,L로 할까 고민했지만 본인스펙에 XL가 정확했다 L 했으면 품이랑 겨랑 꼈을듯 버튼잠가도 껴보였을듯 XL 찰떡이다
120,생각보다는 두께가 얇은데 그렇다고 여름용은 아니고 봄가을정도
121,두께도 적당하고 사이즈도 맞음 소매가 약간 짧음
122,딱맞네요 사실 어깨가 좀만 더 넓었다면 좋을 것 같지만 그냥 베이직하게 입을만 합니다
123,사이즈도 정핏이고 사이즈도 잘 맞아 떨어져서 예뻐요
124,무난하고 가성비 좋은 블레이저에요! 캐주얼하게 입거나 조금 포멀한 자리 있을때 편하게 살수 있을 제품!
125,기본으로 잘 입고 다녀요!! 꾸안꾸로도 꾸꾸로 잘입어요
126,더스티 카키 먼저 산 후에 추가 구매했는데 엉덩이 실짝 덮는 기장감이라 긴거 같긴한데 베이직으로 캐쥬얼 하게 입기 좋은 핏감이랑 기장이예요 기본 색감답게 깔끔한 느낌이라 좋네요
127,잘 받았습니다~~ 매우매우 좋네요~ 맘에 아주 쏙듭니다
128,마감처리 빼곤 다 괜찮고 가성비 좋고 입문용으로 좋아요
129,제품 스테디 한 느낌이라서 입기 좋습니다. 포멀하게 그리고 차려입을 때도 넥타이 입으면 충분하네요.
130,말이 필요없는 무난함과 스탠다드함 그 잡채입니다
131,무난하고 깔끔해서 데일리로 입어도 나쁘지 않을 것 같음
132,깔끔하고 아무데나 입기 좋습니다. 폼은작고 기장은 조금 길어요 저한테눈
133,가상비 좋아요 겨울에 코트나 패딩안에 입기도 줗네요
134,제 체형에 정말 딱 맞어요 급하게 셋업필요햐서 구매했는데 좋습니다
135,핏이 예쁘고 옷감이 좋네요 품질이 좋아서 잘 입을 것 같아요
136,아주아주 좋아용 누무 좇고 다음이듀 뀩 구매하고싶여용
137,음 뭐 무난합니다 그냥 딱 검정 블레이져 좋습니다
138,깔끔하고 좋아요. 무탠다드 역시 퀄좋아요. 저한텐 살짝커서 오버핏 같아요.
139,기본템으로 필수라고 생각합니다 꼭 추천드려요
140,역시 무신사 스탠다드 가성비는 최고입니다 결혼식때 입었는데 유용하게 입었어요
141,사이즈가 생각했던 것보다 작습니다 ㅠㅠ 제일 큰 사이즈라서 구매했지만 제 체격이신 분들은 참고하시면 좋을 것 같아요!
142,깔끔하고 저렴하고 퀄리티도 좋아요. 색깔별로 3벌 주문했습니다
143,"별기대없이 구매했는데, 생각보다 퀄리티가 좋네요~^^ 다른 색도 구매할예정입니다"
144,진짜 무난한 결혼식 장례식용 기본마이인듯 합니다
145,ㄹㅇ 가성비 미쳤습니다 이 가격에 이 정도로 핏 잘나오고 아무데나 걸칠 수 있는 게 있는 제품 찾기 힘든데 너무 잘 샀네요
146,딱 가격대에맞는 무난한 디자인과 품질이네요 만족합니다
147,L 살려다가 XL 샀어요 안에 니트같은거 입으실거면 저처럼 사이즈가세요
148,역시 무텐다드 옷 진짜 잘 만듭니다 핏 이뻐여 옷 진짜 이뻐요
149,아주좋아요 핏도 좋고 회색 블랙 이렇게 두개째 입네요
150,입문블레이저로 아주가성비가 좋은것같아요 퀄짱좋네여
151,약간 루즈하게 떨어져서 자연스러운 핏이 형성됩니다
152,어디다가 입어도 무난하게 잘 맞느네 무신사 스탠드 역시나입니다
153,제 사이즈엔 딱입니다 아주 좋아요 어깨가 좀 작자만 총장은 아주 마음에 듭니다
154,길이가 살짝만 짧으면 정말 이쁠거 같아요 아쉬워용
155,사이즈 선택 고민을 많이했는데 2XL로 선택하길 잘했습니다. 딱 레귤러핏으로 원하는 핏이네요
156,지난번에 구매했다가 마음에 들어서 다른 색으로 재구매합니다
157,적당한 두께라서 간절기에 입기 딱이에요 기본블레이져로 많이 입을듯 합니다!
158,결혼식장에 입고 갔는데 깔끔해서 좋았습니다 . 얇으니까 안에 하얀 니트같은거 입으면 딱이에요~
159,재질도 좋고 사이즈도 딱 좋습니다. 175/83 XL사이즈 저스트 입니다!!
160,총장이랑 어깨랑 다 너무 잘 맞습니다 좋좋슴키다 아주 좋슴미다
161,가을이나 봄에 스타일링 하기 딱 좋은 두께감이고 겨울에도 안에 레이어드로 입기 좋네요
162,결혼식 가려고 샀는데 가격대비 엄청 퀄리티 좋은건 사실이에요!! 이거 추천드려요
163,체형에 딱맞아요 팔길이도 서있을때 딱맞아서 좋네요
164,재질이 너무 좋아요! 면접보러 갈때 입으려고 샀는데 단정해보이고 좋아요
165,기본템으로 진짜 무난하고 이쁩니다 다른 색상도 구매하고 싶네요
166,배송도 빠르고 상품도 사이즈도 아주 아주 좋습니다.
167,깔끔하게 마음에 듭니다. 핏도 딱 정사이즈입니다.
168,무난한 기본 블레이저 입니더. 사이즈 핏 다 적당하네요.
169,사이즈도 맞고 핏이 이뻐요 다음에는 다른 색상 사고 싶어요
170,역시 무텐다드 한벌더 구입합니다. 가격이 올라도 가성비 굿인 제품입니다. 핏 원단 전부만족합니다.
171,한 사이즈 업할걸 그랬나봐요.. 제가 덩치가 큰 편이 아닌데 작네요.. 작은 거 외에 보통템으로 가지고 있기에 좋은 것 같네요
172,무난무난햐요 괜찮은거같습니다 꼭 하나쯤 있으면 좋은거같아여!!!!
173,깔끔하고 이쁘고 색감좋고 사이즈 적당하고 재질좋아요.
174,기본 블레이저 필요해서 샀습니다 무탠다드 퀄 좋아요
175,그냥 가장 기본적인 블랙 블레이저입니다. 입문용 블레이저로 좋은 것 같아요
176,그냥 가성비로 조지기 좋은 블레이저. 좋은 듯합니다.
177,면접 볼때 입어도 손색없습니다 핏이 정말이뻐요
178,어깨부분이 좀 낑기는 느낌이 있네요 그래도 하나쯤은 필요하니 사셔도 될듯 !
179,팔이 째서 아버지 드리구 오버핏으로 하나더 주문 했습니다.
180,"첫 블레이저라 고민 많이 하고 샀는데, 무난하게 딱 좋네요. 다음에는 다른 색도 고려해봐야겠어요. 떨어지는 핏이나, 라인이 다 마음에 듭니다 감사!"
181,적당한 사이즈에 모든 코디와 잘 어울려서 잘 입을 수 있을 거 깉아요
182,길이가 생각보다좀길어요ㅜㅜ수선해서 입어야될듯
183,이정도 가격에 이정도면 옷사이즈 잘선택하면 이쁘게 입을수 있을거 같아요
184,너무너무 맘에들어요 색도 딱원하는색이고 고급지고 바지랑 딱맞네요
185,무탠다드의 정석 무난무난 & 과장 좀 보태면 나쁘지않음
186,블레이저가 필요해서 샀는데 디자인도 이쁘고 잘입고다닐거같아요
187,너무이쁘네요 사이즈도 딱이고 잘입고다니고있어요
188,예뻐요 대학 면접이나 소개팅 같은 중요한날 입기 좋을거 같아요
189,무신사 스탠다드 기본템 싸고 딱맞고 좋아용 추천합니다
190,덩치도있고 뱃살도 있어서 작으면 어떡하나했는데 핏이 딱떨어지고 이뻐요
191,봄가을 + 겨울에도 방한이너나 아우터에 입을수 있는 두께감이고 소재는 고급감은 없지만 출근용으로 입기에 문안함 적당한 핏이라 아저씨 같지도 날라리 같지도 않음 딱 스텐다드 출근용 전투복
192,무난하고 깔끔하고 저렴해서 너무좋아요~ 역시 무텐다드
193,기본중에 기본 자켓입니다 사계절 입어도 좋은것 같아요 예쁘네요
194,생각보다 깔끔해서 좋아요! 앞으로 더 구매할게요~
195,너무 예쁘고 다른 색으로 같은 제품 구매할 예정이에요!! 강추!!
196,가장 심플한 블레이져로 입문하기 좋습니다 100에서 95입는 분들에게 잘 맞아요 가성비이지만 가성비인 만큼 주머니는 장식용이라 내용물을 넣을 공간은 없어요
197,"재구매했어요, 딱 맞아요 따뜻하고 핏이 잘 떨어지네요"
198,만족합니다 좋아요 입문용으로 만족합니다 추천해요
199,한 개쯤 있어야 되서 구매했습니다 무난해서 좋네요
200,"사이즈도 괜찮고 가성비 좋네요. 봄, 가을 가볍게 입기 좋아요."
201,살짝 팔이 짧은것같아요 한 사이즈 정도 크게 사면 좋을것같아오
202,너무 좋습니다. 사이즈도 잘 맞고 핏이 정말 좋은거 같아요
203,좋아요 !! 깔끔하고 맘에들어요 !! 가성비 최고입니당
204,너무 만족합니다 다음에도 또 살거같아요 핏도 좋네요
205,청바지에도 잘어울려서 좋았어요. 깔끔해서 좋았어요.
206,라이트 하게 입기 좋은 댄디한느낌의 블래이저 입니당
207,무신사에서 좋은 제품 찾은거 같네요. 편하게 입기 좋은것 같아요.
208,그냥 대충입기에 아주 좋습니당 핏도 얼추맞고 굿굿
209,무난하고 편하게 입어도 괜찮음 가성비가 좋으음
210,만족하면서 입고잇습니다 잘 입겟습니다 감사합니다
211,너무 예쁘고 편해서 좋아요 많이 입을거 같아요 잘 산거 같네요
212,한치수 좀 더 작게 나왔으면 좋겠네요 재질이랑은 정말 만족합니다
213,기본아아탬으로 무조건 가지고 있어야 합니다. 중요한 자리에도 입어도 깔금하고 좋습니다
214,괜찮아요 딱 기본에 충실해요. 상의는 딱 맞는데 바지는 살쪄서 사이즈 미스네요 ㅋㅋ
215,블레이저 가성비 짱~ 한여름에는 더울거같은 느낌
216,무난한 검은색 블레이저입니당 캐쥬얼하게 입기에도 좋아용
217,딱맞고 입고 돌아 다닐때도 정말 편하네요~팔길이도 맞습니다
218,사이즈 잘 맞고 정말 편합니다 무탠다드 바지와 셔츠로 코디해 입어도 좋을듯 해요 굳이 안좋은점 꼽자면 소매가 좀 짧은정돈데 수선맡기면 되서 좋은 옷인거 같아요! 재질도 부드러워 좋은 옷인거 같습니다.
219,옷이 깔끔하고 무겁거나 색이 이상하거나 같은 단점이 없어서 좋아용
220,생각보다 타이트한데 핏이 예뻐요 편하게 입을듯합니다
221,가볍게 입기 좋고 딱 정사이즈로 잘맞아서 잘입고다닐것같아요
222,사이즈 잘 맞고 정말 편하네요! 품질 좋고 가성비 좋네요~ 무탠다드 바지와 셋업으로 입어도 좋네요! 굳이 비싼돈 주고 정장 살필요없네요!
223,생각안하고 편안하게 입을수 있는 자켓으로 구입함
224,심플하게 입을 수 있고 다양하게 입을 수 있는 블레이져 입니다. 소매가 생각보다 길 수 있으니 잘 확인하고 구입하시길 바랍니다.
225,무난하고 깔끔해서 부담없이 입기 만족스럽네요
226,딱 맞고 옷이 크거나 작지않아서 평소 입는 사이즈 시켰는데 좋네요
227,재질 좋구요 스타일 좋습니다. 배송도 빠르고 잘입겠습니다.
228,블레이져의 근본이라고 할수 있는 옷이라고 말할수 있겠네요 잘 입을게요ㅔ
229,진짜 기본템 중 기본템 가장 무난하게 입을 수 있음
230,퀄리티도 괜찮고 가성비 좋습니다. 추천하는 옷입니다
231,다조은데 좀만 작앗으면 딱인데 그래도 조아여 잘입
232,급하게 샀는데 너무 맘에 드네요 감사합니다 좋아요
233,좋아서 주기적으로 주문하고 있습니다. 이런 바지는 계속 나와야 합니다.
234,어깨가 딱 맞네여 넘 좋습니다 오버핏도 사보고 싶네요
235,여성이 입기에 크지 않고 M사이즈 사니까 딱맞네요
236,핏도 잘 나오고 괜찮아요 운동하시는 분들이 입어도 좋을 것 같아요
237,믿고쓰는 무신사 블레이저 기본템이라 샀는데 만족합니다
238,얇지 않고 탄탄한 재질이네요. 기본 자켓으로 입겠습니다
239,정사이즈로 입을 수 있고 세미정장으로 입을수 있어요
240,기본템으로 최고입니다 여기저기 편하게 입고 다니시 좋아요
241,가격에맞게 좋은 제품 산거같아요 가성비 좋아요
242,사이즈도 딱 정사이즈고 마감하고 처리도 우수하고 재질도 좋네요 역시 믿도 입는 무탠다드
243,생각보다 퀄 좋아서 나중에 오버핏도 구매하려구요
244,그냥 무난하게 입고 다니기 조아요. 포멀하게 입기도 캐주얼하게 입기도 좋아요
245,엥 핏이 이게 맞아요….? 무슨 가오리핏 마냥 겨드랑이랑 옷이랑 붙어있어서 겁나 불편함 어깨 패드도 너무 심해서 입는 순간 어깡 레고 돼요 그렇게 싼 가격도 아닌데 돈 버렸네요ㅜ
246,사이즈 교환했는데 이번것은 잘 맞네요~ 아들이 좋아합니다^^
247,적당한 사이즈 깔끔하고 아무거나 같이 입어도 무난하게 괜찮은 옷
248,오버핏으로 입을라구 크게 샀는데 좋아요 재질도 탄탄하네요
249,제가 생각했던 핏감 그대로에요 이뻐요! 잘 입겠습니다
250,기본으로 무난하고 편하게 입을수 있어서 좋아요.
251,약간 여리여리한 사람이 입으면 예쁠것 같습니다
252,기본 아이템으로 하나씩 가지고 있으면 좋고!! 어디든 잘어울려요!
253,데일리로 입기 좋습니다 가격대비 재질도 좋습니다
254,정말 딱 기본템들 중의 기본템인 블레이저입니다.
255,딱 맞아요 편하게 입기 좋고 다른 색 두벌 구입했네요
256,무난무난한데 오버사이즈로 입는게 더 이쁠거같아요
257,딱맞아요 좋아요 어좁 커버 가능입니다 어좁분들 무조건 사세요
258,편하고 예쁩니다. 오버핏이랑 고민했는데 이거 사길 잘 한듯
259,평범한 블레이저에요 블레이저 처음 사보시는분들 추천드립니다
260,사이즈 핏 잘 나오고 면접때나 중요한 자리에 입기 좋아요
261,한겨울에는 못입겠지만 결혼식같은 격식있는 장소에 갈때 입기 좋아요
262,휘뚜루 마뚜루 입기에 좋고 처음 사보는데 좋은 브랜드네요
263,L 사이즈를 입었을 때 어깨 쪽에 주름이 잡혀서 XL 변경 했어요. 저랑 비슷한 체형이신 분들은 XL로 가시는게 좋지 않을까 생각되는데요. 구매자 분들의 스타일이 있으니 참고만 하시길 바래요.
264,결혼식 갈 일이 생겨서 급하게 샀는데 아주 만족스럽게 입고갔다왔습니다
265,깔끔하게 입고 가기 딱 좋은 옷입니다. 나쁘지 않아요
266,무난하게 입을만 하네요 블레이져가 자주 입을 일이 생겨 가격적인 부분에서 싼거 샀는데 괜찮습니다
267,블레이저중 가장 무난하면서도 잘 어울리는 상품입니다!
268,가성비 아주 좋아요 재질 좋고 싼 가격으로 안보이네요!!
269,사이즈 딱 맞고 좋습니다 쿠폰 적용해서 싸게 샀어요
270,정말 편하고 사이즈도 너무 잘 맞고 코디하기도 편해요
271,옷이 편안하고 잘 맞습니다 색감도 좋은 옷입니다
272,오버핏으로 캐쥬얼하게 입기 딱 좋은 것 같습니다 ~
273,사이즈 적당하고 핏 적당하니 좋습니다~~ 편하게 입기 딱 좋아용~~
274,가격대비 질 조아욥 .. 남성 전용으로 나온거같은데 여성도 괜찮은거앝아여
275,예뻐요 최고최고 다음에도 살게요 쵝오쵝오 따듯
276,옷감이 두툼해서 따뜻하고 디자인이 무엇보다 최고입니다. 무탠다드!!
277,적당히 핏한게 딱 좋아요 원단이 살짝 아쉽지만 가격생각하면 킹왕짱
278,팔이 조금 길어서 수선맡겨야하는거 외에는 만족합니다.
279,상체발달형이라 L이랑 고민하다가 XL 갔는데 딱 좋습니다
280,무탠다드 블레이저 유명하잖아요 하나씩 챙겨두세요
281,팔 길이나 다른 수선필요없이 딱 맞네요 원래 착한가격인데 세일할때 사서 더 좋네요
282,무난하게 입고다니기 좋고 결혼식같은데 입고갈때 편합니다 b
283,무난무난한 깔끔한 블레이저입니다. 무신사 스탠다드 믿고 구매합니다~
284,기본 블레이저로 딱이에요 색상이나 재질 괜찮아서 좋아요
285,배송도 매우 빠르고 사이즈도 딱맞는 것이 매우 만조크 합니다
286,보이는 그대로입니다. 정말 베이직한 제품이고 ~ 어떤 상황에서도 문제없이 착용할수 있어서 활용도가 높을 것 같습니다
287,기본 블레이저로 좋네요 가성비 매우 만족합니다
288,무탠다드 걱정했는데 옷감이나 핏이 아주 마음에 들어요.
289,무난하고 언제 입어도 편할 것 같습니다 믿고 입는 무탠다드
290,중요한 자리에 갈때 고민없이 입기 딱 좋은 옷입니다
291,생각한 그대로 핏이 너무 예쁘네요 얼른 날 따뜻해져서 입고다니고 싶네요!ㅔ
292,정말 강추드립니다 이거 물건입니다 미쳤습니다
293,포장이 너무 깔끔하고 대우받는 느낌이 들어서 좋아요
294,내구성도 좋고 색감도 나쁘지 않게 선명해서 좋네요
295,베이지 사고서 가서비가 좋아서 블랙 재구매합니다 막 입고다니기 좋습니다
296,핏도 이쁘게 잘나오고 생각보다 크지 않아요 원래 세미 오버핏으로 잘 입고 다녀서 저는 사이즈 만족합니다 ㅎ
297,믿고입는 무탠다드 블레이져죠! 믿고입는 무탠다드 블레이져죠
298,결혼식때 입으려고 샀습니다 그냥 딱 기본 블레이저 입니다 어디에든 잘어울리고 특히 마른체형에 좀더 잘 어울리는거같아요
299,처음 블레이저 살 때 추천드려요. 두번째 구매인데 살 때 마다 만족합니다.
300,일있을 때 입기 딱 좋아요~ 싼티도 안나고 좋습니다!
301,사이즈도 잘 맞고 색감도 좋아오 추천드립니다요ㅇ
302,갓텐다드 제품으로 호불호 없이 입을수있는 무난한 자켓입니다. 봄가을에 입기 적합하네여
303,"사이즈 정핏으로 잘 맞고,소매는 조금 깁니다.한여름제외하고 두루두루 활용가능할 것 같아요~^^"
304,그냥 가끔씩 한번 입기에 좋은거같습니다 사이즈도무난 색도무난 디자인도 무난
305,팔 부분도 편해서 움직이기 좋고 실내에서는 입어도 춥지않고 딱 좋았습니다! 두깨도 적당해서 결혼식 하객룩으로 입어도 깔끔하게 예쁠거같아요!
306,그냥 딱 그냥 그런 기본 블레이저네요 기본템이니 하나쯤은 괜찮은거같습니다
307,오프라인에서 입어보고 샀어요 사이즈도 넉넉하고 좋아요
308,편하게 입을 만한 사이즈와 핏입니다. 비즈니스 캐쥬얼용으로 입으려고 샀는데 딱 적당해요
309,딱 정핏으로 나온거 모르고 L 시켰다가 xl 받았는데 정말 이쁘네요. 기본 중에 기본 가성비도 최고구요 원단도 정말 좋아요
310,가성비 좋아요. 휘뚜루마뚜루 템이에요. 사길 잘 한 것 같아요.
